comment_id,true_themes,true_tone
C00869,Career & progression,positive
C00870,Career & progression,negative
C00871,Recognition,positive
C00872,Tools & process,negative
C00873,Joining & onboarding; Inclusion & voice,negative
C00874,Joining & onboarding,positive
C00875,Leadership & communication,negative
C00876,Pay & benefits; Inclusion & voice,positive
C00877,Flexibility & workplace,positive
C00878,Recognition,negative
C00879,Joining & onboarding,positive
C00880,Manager relationship,positive
C00881,Inclusion & voice,negative
C00882,Flexibility & workplace; Career & progression,negative
C00883,Pay & benefits,positive
C00884,Pay & benefits,positive
C00885,Tools & process,positive
C00886,Manager relationship,negative
C00887,Tools & process; Leadership & communication,positive
C00888,Flexibility & workplace,negative
C00889,Career & progression; Leadership & communication,positive
C00890,Tools & process; Joining & onboarding,positive
C00891,Flexibility & workplace,negative
C00892,Recognition,positive
C00893,Leadership & communication,positive
C00894,Tools & process,positive
C00895,Manager relationship,negative
C00896,Flexibility & workplace,positive
C00897,Career & progression,positive
C00898,Joining & onboarding,negative
C00899,Recognition; Flexibility & workplace,negative
C00900,Leadership & communication,positive
C00901,Tools & process,positive
C00902,Workload & staffing,negative
C00903,Pay & benefits,negative
C00904,Flexibility & workplace,negative
C00905,Pay & benefits,positive
C00906,Workload & staffing,negative
C00907,Flexibility & workplace; Workload & staffing,positive
C00908,Joining & onboarding,negative
C00909,Joining & onboarding; Career & progression,positive
C00910,Flexibility & workplace,negative
C00911,Joining & onboarding,positive
C00912,Flexibility & workplace; Manager relationship,negative
C00913,Career & progression,negative
C00914,Tools & process,negative
C00915,Recognition,negative
C00916,Recognition,positive
C00917,Pay & benefits; Recognition,negative
C00918,Workload & staffing,negative
C00919,Flexibility & workplace,positive
C00920,Leadership & communication; Pay & benefits,negative
C00921,Workload & staffing,positive
C00922,Recognition,negative
C00923,Pay & benefits,positive
C00924,Joining & onboarding,positive
C00925,Pay & benefits,positive
C00926,Manager relationship,negative
C00927,Recognition; Leadership & communication,positive
C00928,Workload & staffing,negative
C00929,Inclusion & voice,positive
C00930,Manager relationship,positive
C00931,Flexibility & workplace,negative
C00932,Joining & onboarding; Career & progression,negative
C00933,Pay & benefits,positive
C00934,Pay & benefits,negative
C00935,Workload & staffing,positive
C00936,Flexibility & workplace; Recognition,negative
C00937,Pay & benefits,negative
C00938,Joining & onboarding,negative
C00939,Pay & benefits,positive
C00940,Flexibility & workplace; Career & progression,positive
C00941,Tools & process,negative
C00942,Recognition,positive
C00943,Joining & onboarding,negative
C00944,Career & progression,negative
C00945,Flexibility & workplace,negative
C00946,Joining & onboarding; Tools & process,positive
C00947,Tools & process,negative
C00948,Tools & process,positive
C00949,Pay & benefits,negative
C00950,Manager relationship,positive
C00951,Career & progression; Tools & process,negative
C00952,Flexibility & workplace; Tools & process,positive
C00953,Joining & onboarding,negative
C00954,Manager relationship,positive
C00955,Workload & staffing; Recognition,negative
C00956,Inclusion & voice,negative
C00957,Joining & onboarding,positive
C00958,Leadership & communication,positive
C00959,Workload & staffing,negative
C00960,Inclusion & voice,positive
C00961,Pay & benefits,negative
C00962,Recognition,positive
C00963,Manager relationship; Joining & onboarding,negative
C00964,Career & progression,negative
C00965,Recognition; Workload & staffing,positive
C00966,Pay & benefits,positive
C00967,Tools & process,positive
C00968,Recognition,negative
C00969,Leadership & communication,positive
C00970,Workload & staffing,negative
C00971,Leadership & communication; Workload & staffing,positive
C00972,Tools & process,negative
C00973,Workload & staffing,positive
C00974,Leadership & communication,negative
C00975,Inclusion & voice,positive
C00976,Inclusion & voice,negative
C00977,Leadership & communication,positive
C00978,Joining & onboarding,negative
C00979,Tools & process,positive
C00980,Tools & process,positive
C00981,Workload & staffing; Career & progression,negative
C00982,Career & progression,positive
C00983,Inclusion & voice,negative
C00984,Leadership & communication; Manager relationship,positive
C00985,Inclusion & voice,negative
C00986,Recognition; Manager relationship,positive
C00987,Workload & staffing,negative
C00988,Manager relationship; Flexibility & workplace,negative
C00989,Tools & process,positive
C00990,Pay & benefits,negative
C00991,Flexibility & workplace,positive
C00992,Tools & process,negative
C00993,Recognition,positive
C00994,Career & progression; Leadership & communication,negative
C00995,Flexibility & workplace,positive
C00996,Career & progression,negative
C00997,Inclusion & voice,positive
C00998,Workload & staffing; Recognition,positive
C00999,Tools & process,negative
C01000,Career & progression,positive
C01001,Leadership & communication; Career & progression,negative
C01002,Tools & process,positive
C01003,Leadership & communication,negative
C01004,Workload & staffing,positive
C01005,Recognition,positive
C01006,Tools & process,negative
C01007,Tools & process; Recognition,positive
C01008,Leadership & communication,negative
C01009,Manager relationship,positive
C01010,Pay & benefits,negative
C01011,Workload & staffing,negative
C01012,Workload & staffing,positive
C01013,Recognition; Manager relationship,negative
C01014,Leadership & communication,negative
C01015,Joining & onboarding; Tools & process,positive
C01016,Joining & onboarding,negative
C01017,Pay & benefits; Manager relationship,positive
C01018,Joining & onboarding,negative
C01019,Tools & process,negative
C01020,Manager relationship; Career & progression,negative
C01021,Joining & onboarding,negative
C01022,Joining & onboarding,positive
C01023,Pay & benefits,negative
C01024,Tools & process,negative
C01025,Leadership & communication,positive
C01026,Recognition,negative
C01027,Career & progression,negative
C01028,Pay & benefits,negative
C01029,Workload & staffing,positive
C01030,Inclusion & voice,negative
C01031,Flexibility & workplace; Workload & staffing,positive
C01032,Inclusion & voice,negative
C01033,Manager relationship; Recognition,positive
C01034,Tools & process,negative
C01035,Career & progression,positive
C01036,Leadership & communication,negative
C01037,Inclusion & voice,negative
C01038,Tools & process,positive
C01039,Flexibility & workplace,negative
C01040,Tools & process,negative
C01041,Flexibility & workplace,positive
C01042,Joining & onboarding,negative
C01043,Workload & staffing; Joining & onboarding,positive
C01044,Tools & process,negative
C01045,Flexibility & workplace,positive
C01046,Recognition; Pay & benefits,positive
C01047,Workload & staffing; Inclusion & voice,positive
C01048,Leadership & communication,positive
C01049,Inclusion & voice,positive
C01050,Tools & process; Recognition,negative
C01051,Tools & process,negative
C01052,Workload & staffing,positive
C01053,Leadership & communication; Recognition,negative
C01054,Tools & process; Flexibility & workplace,positive
C01055,Career & progression,negative
C01056,Flexibility & workplace; Inclusion & voice,positive
C01057,Flexibility & workplace,positive
C01058,Recognition,positive
C01059,Leadership & communication,negative
C01060,Joining & onboarding,negative
C01061,Inclusion & voice,positive
C01062,Leadership & communication,negative
C01063,Pay & benefits,negative
C01064,Flexibility & workplace,negative
C01065,Recognition,positive
C01066,Workload & staffing,negative
C01067,Leadership & communication; Joining & onboarding,negative
C01068,Tools & process,positive
C01069,Joining & onboarding; Leadership & communication,negative
C01070,Leadership & communication,positive
C01071,Inclusion & voice,positive
C01072,Flexibility & workplace,positive
C01073,Career & progression,negative
C01074,Pay & benefits,positive
C01075,Joining & onboarding,negative
C01076,Pay & benefits; Recognition,negative
C01077,Leadership & communication,negative
C01078,Recognition,positive
C01079,Flexibility & workplace,negative
C01080,Workload & staffing,negative
C01081,Recognition,positive
C01082,Workload & staffing; Manager relationship,negative
C01083,Joining & onboarding,negative
C01084,Inclusion & voice,positive
C01085,Manager relationship; Career & progression,positive
C01086,Leadership & communication,negative
C01087,Inclusion & voice; Workload & staffing,negative
C01088,Inclusion & voice,positive
C01089,Workload & staffing; Recognition,positive
C01090,Pay & benefits; Career & progression,negative
C01091,Career & progression,positive
C01092,Career & progression,positive
C01093,Career & progression,negative
C01094,Manager relationship,negative
C01095,Joining & onboarding; Pay & benefits,positive
C01096,Workload & staffing,positive
C01097,Recognition,negative
C01098,Pay & benefits,negative
C01099,Flexibility & workplace,negative
C01100,Inclusion & voice,negative
C01101,Workload & staffing,positive
C01102,Leadership & communication,negative
C01103,Pay & benefits,negative
C01104,Workload & staffing; Career & progression,positive
C01105,Recognition,negative
C01106,Tools & process,positive
C01107,Recognition,negative
C01108,Leadership & communication,positive
C01109,Inclusion & voice,positive
C01110,Leadership & communication,negative
C01111,Tools & process,negative
C01112,Inclusion & voice,positive
C01113,Joining & onboarding,positive
C01114,Recognition,positive
C01115,Manager relationship,negative
C01116,Leadership & communication,positive
C01117,Inclusion & voice,positive
C01118,Workload & staffing,positive
C01119,Pay & benefits,negative
C01120,Manager relationship,negative
C01121,Tools & process,positive
C01122,Leadership & communication,negative
C01123,Tools & process,positive
C01124,Flexibility & workplace,positive
C01125,Pay & benefits,negative
C01126,Joining & onboarding,positive
C01127,Pay & benefits,positive
C01128,Manager relationship,negative
C01129,Joining & onboarding; Tools & process,positive
C01130,Manager relationship,negative
C01131,Joining & onboarding,positive
C01132,Manager relationship,positive
C01133,Recognition,positive
C01134,Manager relationship,positive
C01135,Manager relationship,negative
C01136,Leadership & communication,negative
C01137,Leadership & communication,positive
C01138,Manager relationship; Recognition,negative
C01139,Manager relationship; Inclusion & voice,positive
C01140,Leadership & communication,negative
C01141,Career & progression; Pay & benefits,positive
C01142,Pay & benefits; Tools & process,negative
C01143,Recognition,positive
C01144,Recognition; Joining & onboarding,positive
C01145,Manager relationship,positive
C01146,Manager relationship,negative
C01147,Tools & process; Career & progression,positive
C01148,Recognition,negative
C01149,Manager relationship; Workload & staffing,negative
C01150,Career & progression,positive
C01151,Manager relationship,negative
C01152,Recognition,positive
C01153,Pay & benefits,negative
C01154,Tools & process,positive
C01155,Career & progression,negative
C01156,Recognition,positive
C01157,Manager relationship,negative
C01158,Leadership & communication; Inclusion & voice,positive
C01159,Career & progression,negative
C01160,Career & progression,positive
C01161,Inclusion & voice; Workload & staffing,negative
C01162,Manager relationship,negative
C01163,Career & progression; Pay & benefits,positive
C01164,Workload & staffing,positive
C01165,Leadership & communication,negative
C01166,Manager relationship,positive
C01167,Career & progression,negative
C01168,Joining & onboarding; Recognition,positive
C01169,Flexibility & workplace,positive
C01170,Recognition,negative
C01171,Pay & benefits,positive
C01172,Workload & staffing,negative
C01173,Inclusion & voice,positive
C01174,Leadership & communication,negative
C01175,Recognition,positive
C01176,Career & progression,negative
C01177,Leadership & communication,positive
C01178,Workload & staffing,positive
C01179,Workload & staffing; Tools & process,negative
C01180,Inclusion & voice,positive
C01181,Pay & benefits,negative
C01182,Tools & process,negative
C01183,Pay & benefits,negative
C01184,Pay & benefits,positive
C01185,Workload & staffing,negative
C01186,Career & progression,positive
C01187,Tools & process,negative
C01188,Leadership & communication; Manager relationship,positive
C01189,Recognition,negative
C01190,Pay & benefits,positive
C01191,Pay & benefits,negative
C01192,Tools & process,positive
C01193,Career & progression,negative
C01194,Recognition,positive
C01195,Pay & benefits,positive
C01196,Leadership & communication,positive
C01197,Manager relationship,negative
C01198,Career & progression; Manager relationship,positive
C01199,Flexibility & workplace,negative
C01200,Pay & benefits,negative
C01201,Manager relationship,positive
C01202,Inclusion & voice,negative
C01203,Career & progression,negative
C01204,Pay & benefits,positive
C01205,Inclusion & voice,negative
C01206,Recognition; Workload & staffing,negative
C01207,Flexibility & workplace,negative
C01208,Manager relationship,positive
C01209,Workload & staffing,negative
C01210,Pay & benefits,negative
C01211,Pay & benefits,positive
C01212,Workload & staffing,positive
C01213,Inclusion & voice,negative
C01214,Joining & onboarding,positive
C01215,Recognition; Inclusion & voice,negative
C01216,Leadership & communication,positive
C01217,Joining & onboarding,negative
C01218,Tools & process,positive
C01219,Flexibility & workplace; Pay & benefits,negative
C01220,Inclusion & voice,negative
C01221,Inclusion & voice; Recognition,negative
C01222,Pay & benefits,negative
C01223,Inclusion & voice; Leadership & communication,negative
C01224,Career & progression,negative
C01225,Inclusion & voice,positive
C01226,Leadership & communication,negative
C01227,Joining & onboarding,negative
C01228,Inclusion & voice,positive
C01229,Career & progression,negative
C01230,Leadership & communication,negative
C01231,Flexibility & workplace,negative
C01232,Tools & process,negative
C01233,Joining & onboarding,negative
C01234,Flexibility & workplace,negative
C01235,Leadership & communication,positive
C01236,Pay & benefits,negative
C01237,Inclusion & voice,positive
C01238,Flexibility & workplace,negative
C01239,Leadership & communication; Manager relationship,positive
C01240,Leadership & communication,positive
C01241,Pay & benefits,negative
C01242,Workload & staffing,positive
C01243,Career & progression,negative
C01244,Flexibility & workplace; Leadership & communication,positive
C01245,Pay & benefits; Career & progression,negative
C01246,Recognition,positive
C01247,Flexibility & workplace,negative
C01248,Workload & staffing,positive
C01249,Leadership & communication; Inclusion & voice,negative
C01250,Tools & process,positive
C01251,Flexibility & workplace,positive
C01252,Tools & process,positive
C01253,Inclusion & voice,negative
C01254,Leadership & communication,negative
C01255,Joining & onboarding,positive
C01256,Workload & staffing,positive
